Name,Date,Time,Location,Topic
"
                                        
                                    City Council Stated Meeting",5/29/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Transportation",5/29/2014,"
                                        10:15 AM
                                    ",Council Chambers - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",5/29/2014,"
                                        9:30 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Environmental Protection",5/28/2014,"
                                        2:30 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Environmental Protection
"
                                        
                                    Committee on Parks and Recreation",5/28/2014,"
                                        1:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Parks and Recreation
"
                                        
                                    Committee on Veterans",5/28/2014,"
                                        1:00 PM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on State and Federal Legislation",5/28/2014,"
                                        12:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",5/28/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Education, the Committee on Parks and Recreation and the Committee on Environmental Protection",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Education",5/28/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Education
"
                                        
                                    Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",5/27/2014,"
                                        11:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Health,"Executive Budget Hearings - Mental Health, Developmental Disability, Alcoholism, Drug Abuse and Disability Services"
"
                                        
                                    Subcommittee on Drug Abuse",5/27/2014,"
                                        Deferred
                                    ","Council Chambers - City HallJointly with the Committee on Finance, the Committee on Health and the Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse & Disability Services", 
"
                                        
                                    Committee on Finance",5/27/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Health and the Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse & Disability Services",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Health",5/27/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Finance and the Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse & Disability Services",Executive Budget Hearings - Health
"
                                        
                                    Committee on Veterans",5/23/2014,"
                                        1:00 PM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Public Housing",5/23/2014,"
                                        Deferred
                                    ","District Council 9’s Training Center
45-15 36th Street
Long Island City, NY 11101", 
"
                                        
                                    Committee on Rules, Privileges and Elections",5/23/2014,"
                                        10:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Meeting in Recess","Meenakshi Srinivasan, Landmarks Preservation Commission"
"
                                        
                                    Town Hall Meeting",5/22/2014,"
                                        6:00 PM
                                    ","Herbert H. Lehman College - CUNY
250 Bedford Park Boulevard West
Music Building-East Dining Room
Bronx, NY 10468",Vision Zero - Bronx Town Hall Meeting
"
                                        
                                    Committee on Standards and Ethics",5/22/2014,"
                                        3:30 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Standards and Ethics
"
                                        
                                    Committee on Oversight and Investigations",5/22/2014,"
                                        3:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance,Executive Budget Hearings - Oversight and Investigations
"
                                        
                                    Committee on Technology",5/22/2014,"
                                        2:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Land Use,Executive Budget Hearings - Technology
"
                                        
                                    Committee on Land Use",5/22/2014,"
                                        12:00 PM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Technology,Executive Budget Hearings - Land Use
"
                                        
                                    Committee on Land Use",5/22/2014,"
                                        11:00 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",5/22/2014,"
                                        10:00 AM
                                    ","Council Chambers - City HallJointly with the Committee on Aging, the Subcommittee on Senior Centers, the Committee on Land Use, the Committee on Technology, the Committee on Oversight and Investigation and the Committee on Standards and Ethics",Executive Budget Hearings - Finance
"
                                        
                                    Committee on Aging",5/22/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Subcommittee on Senior Centers,Executive Budget Hearings - Aging
"
                                        
                                    Subcommittee on Senior Centers",5/22/2014,"
                                        10:00 AM
                                    ",Council Chambers - City HallJointly with the Committee on Finance and the Committee on Aging,Executive Budget Hearings - Senior Centers
